"","word","n","Year"
"939","memory",4,2000
"940","mercy",4,2000
"941","message",4,2000
"942","mexicans",4,2000
"943","midnight",4,2000
"944","miles",4,2000
"945","misunderstood",4,2000
"946","momma",4,2000
"947","movie",4,2000
"948","murphy",4,2000
"949","mýa",4,2000
"950","nerve",4,2000
"951","newborn",4,2000
"952","nnn",4,2000
"953","obi",4,2000
"954","omillio",4,2000
"955","one's",4,2000
"956","organik",4,2000
"957","outs",4,2000
"958","p.a.t",4,2000
"959","paak",4,2000
"960","paj",4,2000
"961","park",4,2000
"962","perfect",4,2000
"963","photographs",4,2000
"964","player",4,2000
"965","players",4,2000
"966","podge",4,2000
"967","poor",4,2000
"968","proud",4,2000
"969","prove",4,2000
"970","pt",4,2000
"971","pull",4,2000
"972","rainbow's",4,2000
"973","rapper",4,2000
"974","reasons",4,2000
"975","remind",4,2000
"976","resist",4,2000
"977","rest",4,2000
"978","reyez",4,2000
"979","rhymes",4,2000
"980","rhythm",4,2000
"981","rimes",4,2000
"982","role",4,2000
"983","runs",4,2000
"984","salad",4,2000
"985","sam",4,2000
"986","sand",4,2000
"987","scamming",4,2000
"988","scandalous",4,2000
"989","scenes",4,2000
"990","school",4,2000
"991","sell",4,2000
"992","selling",4,2000
"993","share",4,2000
"994","shoot",4,2000
"995","shore",4,2000
"996","shot",4,2000
"997","shout",4,2000
"998","silly",4,2000
"999","sir",4,2000
"1000","ski",4,2000
"1001","slide",4,2000
"1002","slump",4,2000
"1003","slyrydes",4,2000
"1004","smiles",4,2000
"1005","smokin",4,2000
"1006","spanish",4,2000
"1007","sparks",4,2000
"1008","spears",4,2000
"1009","spin",4,2000
"1010","spoken",4,2000
"1011","spots",4,2000
"1012","st",4,2000
"1013","stage",4,2000
"1014","stolen",4,2000
"1015","studio",4,2000
"1016","sunlight",4,2000
"1017","superhuman",4,2000
"1018","superman",4,2000
"1019","supernatural",4,2000
"1020","supply",4,2000
"1021","takin",4,2000
"1022","talks",4,2000
"1023","taylor",4,2000
"1024","team",4,2000
"1025","tease",4,2000
"1026","tellin",4,2000
"1027","ten",4,2000
"1028","that'll",4,2000
"1029","tolü",4,2000
"1030","tv",4,2000
"1031","twerk",4,2000
"1032","uwmami",4,2000
"1033","versus",4,2000
"1034","waitin",4,2000
"1035","walkin",4,2000
"1036","wall",4,2000
"1037","war",4,2000
"1038","wayne",4,2000
"1039","weed",4,2000
"1040","westlife",4,2000
"1041","wise",4,2000
"1042","wit",4,2000
"1043","yesterday",4,2000
"1044","0",3,2000
"1045","100",3,2000
"1046","13",3,2000
"1047","14",3,2000
"1048","159you",3,2000
"1049","17",3,2000
"1050","18",3,2000
"1051","182",3,2000
"1052","24",3,2000
"1053","27",3,2000
"1054","50",3,2000
"1055","afraid",3,2000
"1056","ahead",3,2000
"1057","aislinn",3,2000
"1058","aman",3,2000
"1059","antia",3,2000
"1060","arvo",3,2000
"1061","asleep",3,2000
"1062","assuming",3,2000
"1063","autistic",3,2000
"1064","aw",3,2000
"1065","backseat",3,2000
"1066","bada",3,2000
"1067","bae",3,2000
"1068","bang",3,2000
"1069","bare",3,2000
"1070","basically",3,2000
"1071","bastard",3,2000
"1072","battles",3,2000
"1073","bedroom",3,2000
"1074","beef",3,2000
"1075","beggin",3,2000
"1076","begin",3,2000
"1077","beginning",3,2000
"1078","ben",3,2000
"1079","bend",3,2000
"1080","bending",3,2000
"1081","beneath",3,2000
"1082","berlin",3,2000
"1083","beta",3,2000
"1084","bigger",3,2000
"1085","bizkit",3,2000
"1086","blink",3,2000
"1087","blonde",3,2000
"1088","blood",3,2000
"1089","blues",3,2000
"1090","bonus",3,2000
"1091","boo",3,2000
"1092","booties",3,2000
"1093","bought",3,2000
"1094","braids",3,2000
"1095","brain",3,2000
"1096","brand",3,2000
"1097","bridges",3,2000
"1098","brought",3,2000
"1099","bucks",3,2000
"1100","bump",3,2000
"1101","business",3,2000
"1102","busta",3,2000
"1103","campbell",3,2000
"1104","can’t",3,2000
"1105","cap",3,2000
"1106","car",3,2000
"1107","carey",3,2000
"1108","carries",3,2000
"1109","carter",3,2000
"1110","cat",3,2000
"1111","ch",3,2000
"1112","champion",3,2000
"1113","chances",3,2000
"1114","charlie",3,2000
"1115","chuks",3,2000
"1116","clinch",3,2000
"1117","clown",3,2000
"1118","confused",3,2000
"1119","connect",3,2000
"1120","contributorsthe",3,2000
"1121","covers",3,2000
"1122","crews",3,2000
"1123","crib",3,2000
"1124","critics",3,2000
"1125","crying",3,2000
"1126","culture",3,2000
"1127","cute",3,2000
"1128","daly",3,2000
"1129","dawg",3,2000
"1130","de",3,2000
"1131","deeper",3,2000
"1132","deliver",3,2000
"1133","destiny’s",3,2000
"1134","devilish",3,2000
"1135","died",3,2000
"1136","diverted",3,2000
"1137","doesn’t",3,2000
"1138","doors",3,2000
"1139","dots",3,2000
"1140","drugs",3,2000
"1141","drunk",3,2000
"1142","dubs",3,2000
"1143","echoes",3,2000
"1144","elaine",3,2000
"1145","electric",3,2000
"1146","elephant",3,2000
"1147","elkin",3,2000
"1148","elm",3,2000
"1149","elmwood",3,2000
"1150","endless",3,2000
"1151","energy",3,2000
"1152","escape",3,2000
"1153","evans",3,2000
"1154","evening",3,2000
"1155","expect",3,2000
"1156","fading",3,2000
"1157","fair",3,2000
"1158","fast",3,2000
"1159","fault",3,2000
"1160","favorite",3,2000
"1161","fehdah",3,2000
"1162","fighting",3,2000
"1163","finer",3,2000
"1164","flannery",3,2000
"1165","food",3,2000
"1166","forbidden",3,2000
"1167","foreign",3,2000
"1168","freedom",3,2000
"1169","freestyle",3,2000
"1170","fun",3,2000
"1171","furlong",3,2000
"1172","g's",3,2000
"1173","gained",3,2000
"1174","ganik",3,2000
"1175","gate",3,2000
"1176","george",3,2000
"1177","ghetto",3,2000
"1178","ghost",3,2000
"1179","ghostking",3,2000
"1180","ghzalti",3,2000
"1181","gift",3,2000
"1182","givin",3,2000
"1183","glad",3,2000
"1184","goal",3,2000
"1185","growing",3,2000
"1186","guilty",3,2000
"1187","guns",3,2000
"1188","guts",3,2000
"1189","hall",3,2000
"1190","heroes",3,2000
"1191","he’s",3,2000
"1192","hip",3,2000
"1193","hollow",3,2000
"1194","hollywood",3,2000
"1195","hoods",3,2000
"1196","hop",3,2000
"1197","host",3,2000
"1198","hotel",3,2000
"1199","hours",3,2000
"1200","houston",3,2000
"1201","hova",3,2000
"1202","howie",3,2000
"1203","hughes",3,2000
"1204","hump",3,2000
"1205","hustler",3,2000
"1206","idea",3,2000
"1207","impression",3,2000
"1208","independent",3,2000
"1209","iron",3,2000
"1210","ish",3,2000
"1211","i’ll",3,2000
"1212","jack",3,2000
"1213","jacuzzi",3,2000
